seat_no,paper_1_IA,paper_2_IA,paper_3_IA,paper_4_IA,paper_5_IA,paper_6_IA,paper_7_IA,paper_8_IA,paper_9_IA,paper_10_IA,paper_1_TOT,paper_2_TOT,paper_3_TOT,paper_4_TOT,paper_5_TOT,paper_6_TOT,paper_7_TOT,paper_8_TOT,paper_9_TOT,paper_10_TOT,paper_1_EX,paper_2_EX,paper_3_EX,paper_4_EX,paper_5_EX,paper_6_EX,paper_7_EX,paper_8_EX,paper_9_EX,paper_10_EX
5201589,16.0,15.0,23.0,19.0,40.0,18.0,20.0,17.0,21.0,22.0,72.0,66.0,45.0,41.0,62.0,69.0,84.0,75.0,21.0,22.0,56.0,51.0,56.0,51.0,22.0,51.0,64.0,58.0,22.0,22.0
5201590,17.0,16.0,21.0,19.0,44.0,17.0,19.0,16.0,21.0,23.0,78.0,67.0,43.0,37.0,66.0,62.0,73.0,65.0,21.0,23.0,61.0,51.0,61.0,51.0,22.0,45.0,54.0,49.0,18.0,22.0
5201591,17.0,14.0,17.0,16.0,42.0,12.0,8.0,18.0,13.0,18.0,34.0,54.0,38.0,32.0,62.0,56.0,40.0,83.0,13.0,18.0,17.0,40.0,17.0,40.0,21.0,44.0,32.0,65.0,16.0,20.0
5201592,16.0,17.0,22.0,19.0,40.0,16.0,18.0,15.0,21.0,21.0,,,44.0,38.0,62.0,,,,21.0,21.0,,,,,22.0,,,,19.0,22.0
5201593,18.0,17.0,19.0,15.0,46.0,17.0,16.0,17.0,15.0,17.0,,,39.0,35.0,70.0,,,,15.0,17.0,,,,,20.0,,,,20.0,24.0
5201594,4.0,2.0,14.0,11.0,23.0,5.0,2.0,8.0,14.0,10.0,,,14.0,11.0,23.0,,,,14.0,10.0,,,,,0.0,,,,0.0,0.0
5201595,19.0,19.0,21.0,22.0,44.0,19.0,19.0,17.0,24.0,24.0,75.0,83.0,42.0,41.0,65.0,70.0,80.0,79.0,24.0,24.0,56.0,64.0,56.0,64.0,21.0,51.0,61.0,62.0,19.0,21.0
5201596,19.0,14.0,20.0,18.0,41.0,13.0,17.0,15.0,18.0,18.0,79.0,64.0,40.0,35.0,60.0,57.0,70.0,68.0,18.0,18.0,60.0,50.0,60.0,50.0,20.0,44.0,53.0,53.0,17.0,19.0
5201597,16.0,13.0,19.0,20.0,37.0,18.0,20.0,18.0,19.0,21.0,61.0,64.0,39.0,40.0,56.0,56.0,61.0,85.0,19.0,21.0,45.0,51.0,45.0,51.0,20.0,38.0,41.0,67.0,20.0,19.0
5201598,18.0,16.0,14.0,15.0,42.0,16.0,16.0,17.0,15.0,17.0,74.0,58.0,31.0,35.0,65.0,67.0,65.0,86.0,15.0,17.0,56.0,42.0,56.0,42.0,17.0,51.0,49.0,69.0,20.0,23.0
5201599,18.0,17.0,21.0,19.0,37.0,17.0,20.0,15.0,21.0,19.0,72.0,71.0,39.0,39.0,57.0,64.0,74.0,64.0,21.0,19.0,54.0,54.0,54.0,54.0,18.0,47.0,54.0,49.0,20.0,20.0
5201600,17.0,15.0,21.0,18.0,42.0,15.0,19.0,16.0,17.0,20.0,17.0,58.0,42.0,35.0,65.0,53.0,59.0,66.0,17.0,20.0,,43.0,0.0,43.0,21.0,38.0,40.0,50.0,17.0,23.0
5201601,14.0,13.0,21.0,19.0,47.0,10.0,15.0,16.0,19.0,21.0,62.0,59.0,41.0,39.0,70.0,43.0,72.0,76.0,19.0,21.0,48.0,46.0,48.0,46.0,20.0,33.0,57.0,60.0,20.0,23.0
5201602,10.0,10.0,24.0,23.0,49.0,10.0,10.0,9.0,22.0,24.0,71.0,78.0,45.0,47.0,72.0,71.0,71.0,71.0,22.0,24.0,61.0,68.0,61.0,68.0,21.0,61.0,61.0,62.0,24.0,23.0
5201603,20.0,18.0,24.0,22.0,49.0,20.0,20.0,18.0,22.0,24.0,85.0,73.0,48.0,45.0,72.0,81.0,61.0,81.0,22.0,24.0,65.0,55.0,65.0,55.0,24.0,61.0,41.0,63.0,23.0,23.0
5201604,20.0,16.0,23.0,22.0,48.0,17.0,20.0,18.0,23.0,24.0,75.0,69.0,45.0,43.0,72.0,79.0,73.0,85.0,23.0,24.0,55.0,53.0,55.0,53.0,22.0,62.0,53.0,67.0,21.0,24.0
5201605,18.0,18.0,24.0,21.0,42.0,20.0,18.0,18.0,21.0,23.0,72.0,82.0,45.0,41.0,65.0,75.0,85.0,85.0,21.0,23.0,54.0,64.0,54.0,64.0,21.0,55.0,67.0,67.0,20.0,23.0
5201606,19.0,14.0,20.0,20.0,42.0,15.0,18.0,17.0,20.0,23.0,86.0,64.0,41.0,40.0,65.0,62.0,68.0,62.0,20.0,23.0,67.0,50.0,67.0,50.0,21.0,47.0,50.0,45.0,20.0,23.0
5201607,17.0,16.0,19.0,16.0,41.0,15.0,18.0,16.0,18.0,17.0,66.0,67.0,40.0,36.0,61.0,62.0,69.0,82.0,18.0,17.0,49.0,51.0,49.0,51.0,21.0,47.0,51.0,66.0,20.0,20.0
5201608,19.0,15.0,21.0,21.0,42.0,15.0,18.0,16.0,22.0,23.0,67.0,47.0,42.0,38.0,64.0,47.0,69.0,79.0,22.0,23.0,48.0,32.0,48.0,32.0,21.0,32.0,51.0,63.0,17.0,22.0
5201609,10.0,4.0,17.0,10.0,39.0,11.0,11.0,8.0,12.0,14.0,56.0,40.0,36.0,26.0,60.0,43.0,43.0,35.0,12.0,14.0,46.0,36.0,46.0,36.0,19.0,32.0,32.0,27.0,16.0,21.0
5201610,17.0,16.0,24.0,21.0,46.0,14.0,15.0,16.0,20.0,23.0,70.0,59.0,46.0,43.0,70.0,63.0,66.0,60.0,20.0,23.0,53.0,43.0,53.0,43.0,22.0,49.0,51.0,44.0,22.0,24.0
5201611,18.0,15.0,19.0,18.0,44.0,18.0,17.0,16.0,21.0,19.0,68.0,64.0,41.0,39.0,65.0,64.0,68.0,84.0,21.0,19.0,50.0,49.0,50.0,49.0,22.0,46.0,51.0,68.0,21.0,21.0
5018239,16.0,16.0,20.0,21.0,42.0,17.0,16.0,18.0,21.0,21.0,52.0,49.0,40.0,42.0,63.0,65.0,50.0,50.0,21.0,21.0,36.0,33.0,36.0,33.0,20.0,48.0,34.0,32.0,21.0,21.0
5018240,16.0,16.0,22.0,23.0,46.0,17.0,18.0,15.0,23.0,22.0,48.0,60.0,44.0,45.0,69.0,51.0,64.0,59.0,23.0,22.0,32.0,44.0,32.0,44.0,22.0,34.0,46.0,44.0,22.0,23.0
5018241,19.0,17.0,20.0,21.0,44.0,17.0,19.0,17.0,21.0,21.0,84.0,50.0,41.0,41.0,66.0,74.0,73.0,73.0,21.0,21.0,65.0,33.0,65.0,33.0,21.0,57.0,54.0,56.0,20.0,22.0
5018242,13.0,16.0,20.0,21.0,41.0,14.0,16.0,15.0,20.0,20.0,46.0,63.0,40.0,40.0,61.0,60.0,48.0,56.0,20.0,20.0,33.0,47.0,33.0,47.0,20.0,46.0,32.0,41.0,19.0,20.0
5018243,10.0,17.0,21.0,21.0,41.0,17.0,17.0,17.0,20.0,20.0,51.0,49.0,40.0,41.0,61.0,71.0,66.0,67.0,20.0,20.0,41.0,32.0,41.0,32.0,19.0,54.0,49.0,50.0,20.0,20.0
5018244,9.0,13.0,20.0,20.0,41.0,8.0,12.0,13.0,20.0,20.0,41.0,57.0,39.0,40.0,61.0,33.0,40.0,48.0,20.0,20.0,32.0,44.0,32.0,44.0,19.0,25.0,28.0,35.0,20.0,20.0
5018245,19.0,17.0,23.0,23.0,46.0,18.0,18.0,16.0,23.0,23.0,51.0,45.0,45.0,45.0,69.0,55.0,68.0,58.0,23.0,23.0,32.0,28.0,32.0,28.0,22.0,37.0,50.0,42.0,22.0,23.0
5018246,15.0,14.0,20.0,21.0,40.0,13.0,14.0,8.0,20.0,20.0,40.0,50.0,39.0,42.0,60.0,54.0,57.0,61.0,20.0,20.0,25.0,36.0,25.0,36.0,19.0,41.0,43.0,53.0,21.0,20.0
5018247,17.0,14.0,21.0,21.0,42.0,13.0,16.0,12.0,21.0,22.0,49.0,46.0,42.0,41.0,63.0,54.0,60.0,46.0,21.0,22.0,32.0,32.0,32.0,32.0,21.0,41.0,44.0,34.0,20.0,21.0
5018248,16.0,16.0,21.0,21.0,41.0,12.0,16.0,13.0,22.0,22.0,75.0,52.0,42.0,42.0,62.0,57.0,61.0,67.0,22.0,22.0,59.0,36.0,59.0,36.0,21.0,45.0,45.0,54.0,21.0,21.0
